date,open,high,low,close,volume,dividends,stock splits,capital gains,symbol
2021-08-30 00:00:00-04:00,367.49036279554804,371.3032555673364,367.47084047981787,370.815673828125,27295700,0.0,0.0,0.0,QQQ
2021-08-31 00:00:00-04:00,371.05939472823474,371.12763354153975,368.9627698372776,370.5133056640625,29628200,0.0,0.0,0.0,QQQ
2021-09-01 00:00:00-04:00,371.57622104322,373.20472704008955,370.922848557542,371.12762451171875,28138300,0.0,0.0,0.0,QQQ
2021-09-02 00:00:00-04:00,372.48319274908164,372.81474475854776,369.73322461455825,370.9521789550781,25453400,0.0,0.0,0.0,QQQ
2021-09-03 00:00:00-04:00,369.80146916768314,372.4929296997221,369.78197661296747,372.0931091308594,24605400,0.0,0.0,0.0,QQQ
2021-09-07 00:00:00-04:00,372.200346318841,373.27303197315337,371.03989953276096,372.6196594238281,23970200,0.0,0.0,0.0,QQQ
2021-09-08 00:00:00-04:00,372.4441553622311,372.4441553622311,369.0506057295346,371.3227233886719,32949200,0.0,0.0,0.0,QQQ
2021-09-09 00:00:00-04:00,371.5469562581754,372.65862687875557,369.80140572276827,370.0451965332031,29399000,0.0,0.0,0.0,QQQ
2021-09-10 00:00:00-04:00,371.7616201938108,372.48323171580796,366.90529487967723,367.2368469238281,40249400,0.0,0.0,0.0,QQQ
2021-09-13 00:00:00-04:00,369.57712271568266,370.00619694052494,364.92560457408723,366.9831848144531,48741800,0.0,0.0,0.0,QQQ
2021-09-14 00:00:00-04:00,368.47518958607,369.20656205974547,364.9841180726261,365.9397888183594,41826600,0.0,0.0,0.0,QQQ
2021-09-15 00:00:00-04:00,366.3981962530822,369.01162731705284,364.0967948949318,368.6605529785156,34097900,0.0,0.0,0.0,QQQ
2021-09-16 00:00:00-04:00,367.3245110145647,369.4893747681551,365.39370669353985,368.9140319824219,35193100,0.0,0.0,0.0,QQQ
2021-09-17 00:00:00-04:00,368.43620994008484,368.4849562018699,363.5018859586802,364.5452880859375,60912300,0.0,0.0,0.0,QQQ
2021-09-20 00:00:00-04:00,358.7308043802831,360.4782904198508,352.35592883145534,357.01263427734375,76203200,0.414,0.0,0.0,QQQ
2021-09-21 00:00:00-04:00,358.84801863952873,360.04881036234445,356.31954840696085,357.4519958496094,41927500,0.0,0.0,0.0,QQQ
