date,open,high,low,close,volume,dividends,stock splits,symbol,capital gains,sma_5,sma_10,sma_20,sma_50,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,atr_14,volume_sma_20,volume_ratio,price_change,price_change_5d,price_change_20d
2021-08-30 00:00:00-04:00,145.86712924689024,150.2627279823977,145.48532997591,149.90049743652344,90956700,0.0,0.0,AAPL,,,,,,,0.0,0.0,0.0,,,,,,,,,
2021-08-30 00:00:00-04:00,215.7555957014986,215.85054345260005,213.60040923703323,214.0751190185547,20733300,0.0,0.0,IWM,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,
2021-08-30 00:00:00-04:00,367.49036279554804,371.3032555673364,367.47084047981787,370.815673828125,27295700,0.0,0.0,QQQ,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,
2021-08-30 00:00:00-04:00,146.77270726558947,147.02450664784493,143.7780784815828,144.28167724609375,7937600,0.0,0.0,JPM,,,,,,,0.0,0.0,0.0,,,,,,,,,
2021-08-30 00:00:00-04:00,291.3708628987062,294.37050247103383,291.3128078352672,293.7608947753906,16348100,0.0,0.0,MSFT,,,,,,,0.0,0.0,0.0,,,,,,,,,
2021-08-30 00:00:00-04:00,129.0980779197238,129.4511506366838,128.60015131528613,129.39682006835938,3845800,0.0,0.0,PG,,,,,,,0.0,0.0,0.0,,,,,,,,,
2021-08-30 00:00:00-04:00,153.65800698920867,154.9830332255569,153.64911911340033,154.4316864013672,3252700,0.0,0.0,JNJ,,,,,,,0.0,0.0,0.0,,,,,,,,,
2021-08-30 00:00:00-04:00,177.5402555910814,178.41566123714284,175.9369786741327,177.02877807617188,6421300,0.0,0.0,DIS,,,,,,,0.0,0.0,0.0,,,,,,,,,
2021-08-30 00:00:00-04:00,426.16065639777963,428.14513425016696,425.9149506255805,427.3513488769531,48357400,0.0,0.0,SPY,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,
2021-08-30 00:00:00-04:00,143.5391453554876,145.1002935324652,143.303558729451,143.728515625,24434000,0.0,0.0,GOOGL,,,,,,,0.0,0.0,0.0,,,,,,,,,
2021-08-30 00:00:00-04:00,238.24000549316406,243.6666717529297,237.57666015625,243.6366729736328,55812600,0.0,0.0,TSLA,,,,,,,0.0,0.0,0.0,,,,,,,,,
2021-08-30 00:00:00-04:00,167.8715057373047,172.25,167.76100158691406,171.07850646972656,63844000,0.0,0.0,AMZN,,,,,,,0.0,0.0,0.0,,,,,,,,,
2021-08-30 00:00:00-04:00,225.83155488114855,226.782665614764,223.14319541011884,224.41458129882812,6448000,0.0,0.0,V,,,,,,,0.0,0.0,0.0,,,,,,,,,
2021-08-31 00:00:00-04:00,171.24000549316406,173.62899780273438,169.7794952392578,173.5395050048828,87128000,0.0,0.0,AMZN,,,,,,,0.055214710724641236,0.030674839291467353,0.024539871433173883,,,,,,,0.01438520002272603,,
2021-08-31 00:00:00-04:00,149.45023057153006,149.58728638550176,148.10902552984626,148.63768005371094,86453100,0.0,0.0,AAPL,,,,,,,-0.02833244128103729,-0.015740245156131826,-0.012592196124905464,,,,,,,-0.008424370862059716,,
2021-08-31 00:00:00-04:00,371.05939472823474,371.12763354153975,368.9627698372776,370.5133056640625,29628200,0.0,0.0,QQQ,0.0,,,,,,-0.0067839011168189245,-0.0037688339537882915,-0.003015067163030633,,,,,,,-0.0008154136553640834,,
2021-08-31 00:00:00-04:00,144.28165914264403,145.11798975976197,143.3014392617094,143.84100341796875,12340800,0.0,0.0,JPM,,,,,,,-0.009886912810486592,-0.005492729339159218,-0.004394183471327374,,,,,,,-0.0030542605030392522,,
2021-08-31 00:00:00-04:00,294.5639424758335,294.64133935853647,291.73846902002873,292.1061706542969,26285300,0.0,0.0,MSFT,,,,,,,-0.03712522066558677,-0.02062512259199265,-0.016500098073594118,,,,,,,-0.005632894474803862,,
